time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,2,2,25,1
2026-03-06 00:00:00+00:00,8,4,4,1
2026-03-07 00:00:00+00:00,7,3,0,0
2026-03-08 00:00:00+00:00,9,5,0,0
2026-03-09 00:00:00+00:00,14,6,1,1
2026-03-10 00:00:00+00:00,17,5,7,1
2026-03-11 00:00:00+00:00,13,9,3,1
2026-03-12 00:00:00+00:00,13,5,3,3
2026-03-13 00:00:00+00:00,12,4,14,1
2026-03-14 00:00:00+00:00,2,2,0,0
2026-03-15 00:00:00+00:00,13,5,3,1
2026-03-16 00:00:00+00:00,1,1,3,2
2026-03-17 00:00:00+00:00,2,2,30,2
2026-03-18 00:00:00+00:00,19,7,24,2
